Label	Meta Critic	Reviewers	Cost
Ancient Age	7.85	10	1.0
Angel's Envy Bourbon	8.42	18	3.0
Baker's	9.02	3	3.0
Barrel	8.79	16	4.0
1792	8.66	13	3.0
Basil Hayden's	8.29	23	2.0
Bernheim Wheat Whiskey	8.41	21	2.0
Blantons	8.65	27	3.0
Booker's	8.76	29	3.0
Buffalo Trace	8.55	29	2.0
Bulleit 10 year Bourbon	8.5	19	3.0
Bulleit Barrel Strength Bourbon	8.56	9	4.0
Bulleit Bourbon	8.33	29	2.0
Col EH Taylor, Jr	8.8	14	4.0
Eagle Rare	8.64	29	2.0
Early Times	8.71	5	1.0
Elijah Craig Barrel Proof	8.82	21	4.0
Elijah Craig	8.33	10	2.0
Elmer T Lee	8.75	20	3.0
Evan Williams Single Barrel	8.58	21	2.0
Ezra Brooks	8.64	8	2.0
Single Barrel Private Selection Barrel Proof OESF	8.7	27	3.0
George Dickel	8.19	20	2.0
George T Stagg	9.2	31	5.5
Henry McKenna	8.74	14	2.0
Gentleman Jack	7.93	17	2.0
Jack Daniels Single Barrel	8.53	20	3.0
Ocean, Unknown	8.4	7	2.0
Jim Beam	7.73	5	2.0
Jim Beam Double Oak	8.28	10	2.0
Jim Beam Single Barrel	8.59	4	2.0
Knob Creek	8.76	19	3.0
Larceny	8.34	17	2.0
Makers 46	8.61	25	3.0
Makers Cask Strength	8.72	18	4.0
Makers Mark	8.19	29	2.0
Michter's US1	8.46	19	3.0
Michter's Toasted Oak	8.37	10	4.0
Old Fitzgerald	8.38	6	2.0
Old Forester 1870	8.26	3	3.0
Old Forester 1897	8.4	10	3.0
Old Forester	8.14	15	2.0
Old GrandDad	8.01	13	2.0
Old GrandDad Bottled-in-Bond	8.43	15	2.0
Van Winkle (All)	8.9	15	5.5
Weller (all)	8.7	20	2.0
Rebel Yell (Heaven Hill Sourced)	7.55	14	1.0
Russels' Reserve	8.57	20	2.0
Old Scout American Whiskey	8.46	15	3.0
Yearling	7.92	4	3.0
Stagg jr	8.37	16	4.0
Wild Turkey	8.13	18	1.0
Wild Turkey Forgiven	8.36	11	3.0
Rare Breed	8.72	24	3.0
Bourbon #3	9.01	20	4.0
Bourbon #4 (Wheated)	8.54	13	3.0
Woodford Reserve	8.37	24	2.0
Woodford Double Oaked	8.65	18	4.0
