Bourbon	Meta Critic	Reviewers	Cost
Ancient Age 10yo Kentucky Straight Bourbon	8.44	8	1.0
Ancient Age Kentucky Straight Bourbon	7.85	10	1.0
Angel's Envy Bourbon (Port-finished)	8.42	18	3.0
Angel's Envy Cask Strength	8.85	12	5.5
Baker's 7yo Single Barrel Bourbon	9.02	3	3.0
Baker's 7yo Small Batch Bourbon	8.73	25	3.0
Barrell 15yo Craft Spirits Bourbon (Batch 001)	8.81	4	5.5
Barrell Bourbon (all Batches)	8.79	16	4.0
Barton 1792 Full Proof Bourbon	8.66	13	3.0
Barton 1792 High Rye Bourbon	8.69	6	3.0
Barton 1792 Port Finished Bourbon	8.51	8	3.0
Barton 1792 Single Barrel Bourbon	8.48	7	3.0
Barton 1792 Small Batch Bourbon	8.5	23	2.0
Barton 1792 Sweet Wheat Bourbon	8.46	11	4.0
Basil Hayden's 10yo Bourbon	8.21	6	4.0
Basil Hayden's Kentucky Bourbon	8.29	23	2.0
Bernheim Original Straight Wheat 7yo Small Batch	8.41	21	2.0
Blanton's Gold Kentucky Straight Bourbon	8.67	22	4.0
Blanton's Original Bourbon Single Barrel	8.65	27	3.0
Blanton's Special Reserve Single Barrel (Green label)	8.31	8	3.0
Blanton's Straight from the Barrel Bourbon	8.96	16	4.0
Booker's Small Batch Straight Bourbon	8.76	29	3.0
Buffalo Trace Bourbon	8.55	29	2.0
Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)	8.52	5	5.0
Buffalo Trace Experimental Collection 12yo floor #1 (wheat, 2015)	8.61	3	5.0
Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)	9.05	5	5.0
Bulleit 10yo	8.5	19	3.0
Bulleit Bourbon Barrel Strength	8.56	9	4.0
Bulleit Bourbon	8.33	29	2.0
Colonel E.H. Taylor Four Grain	8.83	10	4.0
Colonel E.H. Taylor Single Barrel	8.8	14	4.0
Colonel E.H. Taylor Small Batch (BiB)	8.67	19	4.0
Colonel EH. Taylor Barrel Proof	8.93	13	4.0
